Plot,Altitude,Slope ,Aspect,Browsing,pH,Sand ,OM,P,Ca
1,1973,3,0,1,6.4,62,1.29,13.13,19.47
2,1988,4,2.5,0,7.13,74,0.9,17.2,6.69
3,1996,9,2.5,2,7.13,74,0.9,17.2,6.69
4,2011,12,1.25,1,6.96,60,1.6,15.8,20.7
5,2016,8,2.5,1,6.12,62,2.96,11.75,15.26
6,2004,10,3,2,6.12,62,2.96,11.75,15.26
7,1988,7,2.5,2,6.01,64,0.59,7.02,18.08
8,1984,9,3.25,2,6.4,62,1.29,13.13,19.47
9,1977,8,0,2,6.23,55,0.82,6.5,15.51
10,1992,12,1.25,1,6.21,52,0.86,2.88,15.18
11,2007,20,1.25,2,6.96,60,1.6,15.8,20.7
12,2032,12,1.25,1,6.13,66,1.05,6.5,17.03
13,2052,15,2.5,2,5.92,60,2.54,5,20.16
14,2041,8,3.25,2,6.41,56,2.18,7.63,15.05
15,2012,7,4,2,5.92,60,2.54,5,20.16
16,1991,5,2,3,6.4,62,1.29,13.13,19.47
17,1975,3,2.5,3,6.23,55,0.82,6.5,15.51
18,1978,4,2.5,3,7.13,74,0.9,17.2,6.69
19,1984,5,2,3,7.13,74,0.9,17.2,6.69
20,2003,12,1.25,2,6.41,56,2.18,7.63,15.05
21,2025,15,0,2,6.13,66,1.05,6.5,17.03
22,2059,12,1.25,2,6.41,56,2.18,7.63,15.05
23,2064,15,4,1,5.92,60,2.54,5,20.16
24,2013,12,2,1,6.41,56,2.18,7.63,15.05
25,1993,6,4,2,6.21,52,0.86,2.88,15.18
26,1984,3,2.5,2,6.21,52,0.86,2.88,15.18
27,1983,5,0,3,6.4,62,1.29,13.13,19.47
28,2000,10,0,1,6.12,62,2.96,11.75,15.26
29,2031,8,1,1,6.41,56,2.18,7.63,15.05
30,2045,11,0,1,5.92,60,2.54,5,20.16
31,2025,16,4,1,5.92,60,2.54,5,20.16
32,1996,14,4,3,6.4,62,1.29,13.13,19.47
33,1978,8,0,2,6.4,62,1.29,13.13,19.47
34,1995,4,1.25,0,6.4,62,1.29,13.13,19.47
35,2014,11,1.25,0,6.13,66,1.05,6.5,17.03
36,2043,18,1,0,6.13,66,1.05,6.5,17.03
37,2025,19,3,2,5.92,60,2.54,5,20.16
38,1985,8,4,3,6.21,52,0.86,2.88,15.18
39,1984,18,0,3,6.23,55,0.82,6.5,15.51
40,2006,9,1,1,6.12,62,2.96,11.75,15.26
41,2031,3,3,2,6.96,60,1.6,15.8,20.7
42,1991,11,4,1,6.01,64,0.59,7.02,18.08
43,1972,9,0,2,6.4,62,1.29,13.13,19.47
44,1997,16,0,2,6.23,55,0.82,6.5,15.51
45,2027,8,2,1,5.92,60,2.54,5,20.16
46,2001,14,2,3,6.13,66,1.05,6.5,17.03
47,1983,5,1.25,2,7.13,74,0.9,17.2,6.69
48,2004,8,0,1,5.92,60,2.54,5,20.16
49,2007,7,2,2,6.96,60,1.6,15.8,20.7
50,1985,14,4,3,6.21,52,0.86,2.88,15.18
